# matchedfilter CPU COST table -- FDR and batch-aware relative costs
# format cost-fd-pairs-v1
# cpu     AMD RYZEN AI MAX+ 395 w/ Radeon 8060S
# commit  4c2706e
# Warm public-API cost relative to the widest band for this profile and shape.
# The reference-profile gate model computes accuracy independently.
# U=2 and K=8 are retained as configuration metadata; taps are inert.
# COST n band U K snr fd pairs f beff relative_cost
COST 1024 256 2 8 6.50 0.001 512 0.940195 81.628 0.465667
COST 1024 512 2 8 6.50 0.001 512 1.000000 92.210 1.000000
COST 1024 256 2 8 6.50 0.001 512 0.972159 61.071 0.454345
COST 1024 512 2 8 6.50 0.001 512 1.000000 64.605 1.000000
COST 1024 256 2 8 6.50 0.001 512 0.988151 48.031 0.441587
COST 1024 512 2 8 6.50 0.001 512 1.000000 49.188 1.000000
COST 1024 256 2 8 6.50 0.01 512 0.884518 113.275 0.455819
COST 1024 512 2 8 6.50 0.01 512 1.000000 143.622 1.000000
COST 1024 256 2 8 6.50 0.01 512 0.940195 81.628 0.448666
COST 1024 512 2 8 6.50 0.01 512 1.000000 92.210 1.000000
COST 1024 256 2 8 6.50 0.01 512 0.972159 61.071 0.448409
COST 1024 512 2 8 6.50 0.01 512 1.000000 64.605 1.000000
COST 1024 256 2 8 6.50 0.01 512 0.988151 48.031 0.451961
COST 1024 512 2 8 6.50 0.01 512 1.000000 49.188 1.000000
COST 131072 2048 2 8 5.00 0.0001 512 0.101363 1161.495 0.729075
COST 131072 4096 2 8 5.00 0.0001 512 0.330517 3133.156 0.752121
COST 131072 8192 2 8 5.00 0.0001 512 0.556820 6433.428 0.770351
COST 131072 16384 2 8 5.00 0.0001 512 0.739558 10405.039 0.796014
COST 131072 32768 2 8 5.00 0.0001 512 0.884753 14510.533 0.854343
COST 131072 65536 2 8 5.00 0.0001 512 1.000000 18388.750 1.000000
COST 131072 2048 2 8 5.00 0.0001 512 0.165475 1248.868 0.746328
COST 131072 4096 2 8 5.00 0.0001 512 0.461394 3219.569 0.732171
COST 131072 8192 2 8 5.00 0.0001 512 0.695493 5977.928 0.768047
COST 131072 16384 2 8 5.00 0.0001 512 0.845646 8515.006 0.801398
COST 131072 32768 2 8 5.00 0.0001 512 0.940342 10452.859 0.870467
COST 131072 65536 2 8 5.00 0.0001 512 1.000000 11804.351 1.000000
COST 131072 2048 2 8 5.00 0.0001 512 0.244680 1346.831 0.744113
COST 131072 4096 2 8 5.00 0.0001 512 0.588141 3276.857 0.730355
COST 131072 8192 2 8 5.00 0.0001 512 0.805819 5460.169 0.760789
COST 131072 16384 2 8 5.00 0.0001 512 0.916724 6964.047 0.782224
COST 131072 32768 2 8 5.00 0.0001 512 0.972240 7818.850 0.859667
COST 131072 65536 2 8 5.00 0.0001 512 1.000000 8269.841 1.000000
COST 131072 2048 2 8 5.00 0.0001 512 0.334152 1456.527 0.886146
COST 131072 4096 2 8 5.00 0.0001 512 0.698534 3302.182 0.904757
COST 131072 8192 2 8 5.00 0.0001 512 0.883560 4943.763 0.979051
COST 131072 16384 2 8 5.00 0.0001 512 0.958440 5786.452 0.954347
COST 131072 32768 2 8 5.00 0.0001 512 0.988192 6148.706 1.031175
COST 131072 65536 2 8 5.00 0.0001 512 1.000000 6296.317 1.000000
COST 131072 2048 2 8 5.00 0.001 512 0.101363 1161.495 0.692284
COST 131072 4096 2 8 5.00 0.001 512 0.330517 3133.156 0.714012
COST 131072 8192 2 8 5.00 0.001 512 0.556820 6433.428 0.735842
COST 131072 16384 2 8 5.00 0.001 512 0.739558 10405.039 0.758356
COST 131072 32768 2 8 5.00 0.001 512 0.884753 14510.533 0.835379
COST 131072 65536 2 8 5.00 0.001 512 1.000000 18388.750 1.000000
COST 131072 2048 2 8 5.00 0.001 512 0.165475 1248.868 0.714032
COST 131072 4096 2 8 5.00 0.001 512 0.461394 3219.569 0.761519
COST 131072 8192 2 8 5.00 0.001 512 0.695493 5977.928 0.738919
COST 131072 16384 2 8 5.00 0.001 512 0.845646 8515.006 0.787751
COST 131072 32768 2 8 5.00 0.001 512 0.940342 10452.859 0.848716
COST 131072 65536 2 8 5.00 0.001 512 1.000000 11804.351 1.000000
COST 131072 2048 2 8 5.00 0.001 512 0.244680 1346.831 0.783524
COST 131072 4096 2 8 5.00 0.001 512 0.588141 3276.857 0.766660
COST 131072 8192 2 8 5.00 0.001 512 0.805819 5460.169 0.804418
COST 131072 16384 2 8 5.00 0.001 512 0.916724 6964.047 0.837133
COST 131072 32768 2 8 5.00 0.001 512 0.972240 7818.850 0.908646
COST 131072 65536 2 8 5.00 0.001 512 1.000000 8269.841 1.000000
COST 131072 2048 2 8 5.00 0.001 512 0.334152 1456.527 1.066464
COST 131072 4096 2 8 5.00 0.001 512 0.698534 3302.182 1.104580
COST 131072 8192 2 8 5.00 0.001 512 0.883560 4943.763 1.096488
COST 131072 16384 2 8 5.00 0.001 512 0.958440 5786.452 1.131129
COST 131072 32768 2 8 5.00 0.001 512 0.988192 6148.706 1.088313
COST 131072 65536 2 8 5.00 0.001 512 1.000000 6296.317 1.000000
COST 131072 2048 2 8 5.00 0.01 512 0.101363 1161.495 0.738507
COST 131072 4096 2 8 5.00 0.01 512 0.330517 3133.156 0.766409
